"transaction_type","payment_method","channel","transaction_count","transaction_value","platform_revenue","average_transaction_value"
"Bill Payment","Credit Card","ATM","444","4908690.70","28688.03","11055.61"
"Bill Payment","Debit Card","Branch","444","4823112.92","28441.90","10862.87"
"Card Purchase","QR Payment","ATM","542","4705059.72","41572.96","8680.92"
"Cash Withdrawal","Debit Card","Branch","308","4685187.12","54379.23","15211.65"
"Cash Withdrawal","QR Payment","Web","287","4582307.44","53051.37","15966.23"
"Cash Withdrawal","Credit Card","ATM","279","4307111.97","51105.20","15437.68"
"Online Payment","Mobile Wallet","Branch","333","4155080.24","40670.07","12477.72"
"Online Payment","Bank Transfer","Branch","346","4152833.37","40415.65","12002.41"
"Bill Payment","Bank Transfer","Branch","349","3988069.12","23305.00","11427.13"
"Online Payment","Credit Card","Branch","275","3479893.83","34423.05","12654.16"
"Bill Payment","Mobile Wallet","Branch","319","3378902.94","19796.48","10592.17"
"Online Payment","QR Payment","ATM","264","3316468.37","32052.24","12562.38"
"Mobile Top-up","Debit Card","Mobile App","1442","3265703.37","9566.58","2264.70"
"Cash Withdrawal","Bank Transfer","Branch","217","3145720.38","36543.38","14496.41"
"Bill Payment","QR Payment","ATM","273","2904574.06","16986.68","10639.47"
"Bill Payment","Credit Card","Branch","265","2856191.55","16669.53","10778.08"
"Cash Withdrawal","Credit Card","Branch","178","2752723.59","32545.90","15464.74"
"Mobile Top-up","Bank Transfer","Mobile App","1105","2646006.00","7792.32","2394.58"
"Card Purchase","QR Payment","Branch","300","2606504.78","22938.78","8688.35"
"Cash Withdrawal","Mobile Wallet","Branch","175","2472759.56","28484.70","14130.05"
"Cash Withdrawal","QR Payment","ATM","170","2314339.50","27085.11","13613.76"
"Mobile Top-up","Debit Card","POS","978","2310063.45","6734.52","2362.03"
"Mobile Top-up","Mobile Wallet","Mobile App","960","2267744.24","6703.53","2362.23"
"Online Payment","QR Payment","Branch","167","2131248.32","20722.82","12761.97"
"Mobile Top-up","Credit Card","Mobile App","896","2116117.33","6189.73","2361.74"
"Bill Payment","QR Payment","Branch","143","1617563.57","9645.57","11311.63"
"Mobile Top-up","Bank Transfer","POS","697","1551676.20","4550.75","2226.22"
"Mobile Top-up","Mobile Wallet","POS","654","1531233.36","4529.32","2341.34"
"Cash Withdrawal","QR Payment","Branch","102","1524483.64","17537.01","14945.92"
"Mobile Top-up","Debit Card","Web","634","1464747.23","4253.40","2310.33"
"Mobile Top-up","Credit Card","POS","606","1448863.10","4235.69","2390.86"
"Mobile Top-up","QR Payment","Mobile App","492","1182729.64","3449.73","2403.92"
"Mobile Top-up","Bank Transfer","Web","513","1175520.72","3429.11","2291.46"
"Mobile Top-up","Debit Card","ATM","493","1107613.75","3234.46","2246.68"
"Mobile Top-up","Mobile Wallet","Web","481","1087010.49","3148.62","2259.90"
"Mobile Top-up","Credit Card","Web","398","954878.56","2790.55","2399.19"
"Mobile Top-up","Bank Transfer","ATM","383","894060.22","2594.76","2334.36"
"Mobile Top-up","QR Payment","POS","314","697374.28","2034.52","2220.94"
"Mobile Top-up","Mobile Wallet","ATM","296","673924.55","1955.48","2276.77"
"Mobile Top-up","Credit Card","ATM","269","604722.95","1786.19","2248.04"
"Mobile Top-up","Debit Card","Branch","268","598243.62","1763.70","2232.25"
"Mobile Top-up","QR Payment","Web","223","541345.82","1551.04","2427.56"
"Mobile Top-up","Bank Transfer","Branch","202","476833.68","1439.74","2360.56"
"Mobile Top-up","Mobile Wallet","Branch","192","443932.32","1286.17","2312.15"
"Mobile Top-up","Credit Card","Branch","180","389865.74","1115.86","2165.92"
"Mobile Top-up","QR Payment","ATM","152","346958.17","1030.35","2282.62"
"Mobile Top-up","QR Payment","Branch","86","241740.27","700.28","2810.93"
