transaction_id,customer_id,transaction_date,transaction_type,payment_method,channel,transaction_amount,fee_amount,transaction_status
TXN00011914,CUST009843,2024-01-01,Bank Transfer,Bank Transfer,Branch,27274.9,126.6,Completed
TXN00013061,CUST011620,2024-01-01,Card Purchase,Credit Card,POS,10514.6,89.52,Completed
TXN00013560,CUST006947,2024-01-01,Card Purchase,Credit Card,POS,3724.51,36.03,Completed
TXN00014311,CUST000784,2024-01-01,Cash Withdrawal,Mobile Wallet,ATM,12821.03,153.3,Completed
TXN00015711,CUST009064,2024-01-01,Card Purchase,Bank Transfer,Mobile App,7261.06,57.28,Completed
TXN00015726,CUST002571,2024-01-01,Cash Withdrawal,Credit Card,POS,4592.07,60.76,Completed
TXN00015765,CUST009366,2024-01-01,Cash Withdrawal,Credit Card,Mobile App,4866.07,55.54,Completed
TXN00016383,CUST009077,2024-01-01,Cash Withdrawal,Credit Card,Web,15650.35,206.62,Completed
TXN00016680,CUST007532,2024-01-01,Card Purchase,Debit Card,Web,16978.71,140.79,Completed
TXN00017268,CUST006212,2024-01-01,Cash Withdrawal,Credit Card,Web,7839.05,95.43,Completed
TXN00017705,CUST000740,2024-01-01,Online Payment,Credit Card,ATM,25013.69,240.02,Completed
TXN00017755,CUST000996,2024-01-01,Bank Transfer,Bank Transfer,Web,28859.13,137.57,Completed
TXN00017793,CUST010647,2024-01-01,Card Purchase,Bank Transfer,Mobile App,5422.02,50.0,Completed
TXN00020079,CUST007311,2024-01-01,Online Payment,Mobile Wallet,POS,8524.8,90.16,Completed
TXN00022318,CUST011131,2024-01-01,Card Purchase,Mobile Wallet,Branch,7331.86,56.86,Completed
TXN00022589,CUST011318,2024-01-01,Bank Transfer,Debit Card,POS,39265.3,186.71,Completed
TXN00023650,CUST004112,2024-01-01,Card Purchase,Debit Card,Mobile App,5079.38,41.82,Completed
TXN00023795,CUST003064,2024-01-01,Mobile Top-up,QR Payment,Mobile App,2789.96,7.35,Completed
TXN00023986,CUST007540,2024-01-01,Card Purchase,Bank Transfer,Branch,26069.56,196.43,Completed
TXN00024109,CUST002816,2024-01-01,Online Payment,Bank Transfer,POS,4874.86,38.41,Completed
TXN00026979,CUST001310,2024-01-01,Card Purchase,Debit Card,POS,11801.9,100.78,Completed
TXN00027385,CUST005639,2024-01-01,Bank Transfer,Debit Card,Web,71257.25,338.29,Completed
TXN00027848,CUST002571,2024-01-01,Card Purchase,Bank Transfer,Mobile App,8151.6,60.52,Completed
TXN00028292,CUST007012,2024-01-01,Card Purchase,Bank Transfer,Mobile App,5327.91,37.21,Completed
TXN00028899,CUST004909,2024-01-01,Cash Withdrawal,QR Payment,POS,15169.76,150.56,Completed
TXN00031167,CUST002341,2024-01-01,Card Purchase,Debit Card,Mobile App,10986.64,109.29,Completed
TXN00031523,CUST003294,2024-01-01,Cash Withdrawal,Mobile Wallet,Mobile App,7217.49,0.0,Reversed
TXN00031975,CUST001334,2024-01-01,Online Payment,Debit Card,Branch,2941.52,34.34,Completed
TXN00033315,CUST011675,2024-01-01,Online Payment,Mobile Wallet,POS,12818.69,152.46,Completed
TXN00034048,CUST007177,2024-01-01,Card Purchase,Bank Transfer,POS,5409.26,36.59,Completed
TXN00034177,CUST002752,2024-01-01,Cash Withdrawal,Credit Card,Mobile App,53859.9,772.21,Completed
TXN00034269,CUST001957,2024-01-01,Bank Transfer,Bank Transfer,ATM,88060.01,302.41,Completed
TXN00034748,CUST004238,2024-01-01,Bank Transfer,QR Payment,Mobile App,61585.71,257.44,Completed
TXN00035355,CUST008927,2024-01-01,Bill Payment,Mobile Wallet,Mobile App,15193.15,95.97,Completed
TXN00035870,CUST011521,2024-01-01,Card Purchase,Debit Card,Mobile App,25515.22,0.0,Reversed
TXN00036042,CUST001981,2024-01-01,Card Purchase,QR Payment,Mobile App,1976.14,17.88,Completed
TXN00037272,CUST011606,2024-01-01,Mobile Top-up,Debit Card,POS,916.29,3.18,Completed
TXN00038137,CUST008636,2024-01-01,Cash Withdrawal,Credit Card,POS,8364.2,82.99,Completed
TXN00038163,CUST010921,2024-01-01,Card Purchase,Debit Card,POS,20454.02,0.0,Failed
TXN00038853,CUST007798,2024-01-01,Online Payment,Credit Card,Web,7620.79,0.0,Failed
TXN00039092,CUST005718,2024-01-01,Card Purchase,Debit Card,Web,4847.2,36.52,Completed
TXN00040565,CUST003021,2024-01-01,Cash Withdrawal,Bank Transfer,Mobile App,12884.98,134.38,Completed
TXN00040714,CUST006433,2024-01-01,Cash Withdrawal,Credit Card,Mobile App,2699.38,28.11,Completed
TXN00042339,CUST011953,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,8064.66,65.62,Completed
TXN00043147,CUST008520,2024-01-01,Mobile Top-up,QR Payment,Mobile App,7404.66,0.0,Failed
TXN00045244,CUST010495,2024-01-01,Bill Payment,Credit Card,Branch,9728.74,65.05,Completed
TXN00045633,CUST008357,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,2510.98,22.34,Completed
TXN00046222,CUST007911,2024-01-01,Bill Payment,Mobile Wallet,POS,5412.59,29.14,Completed
TXN00046318,CUST009046,2024-01-01,Bank Transfer,Credit Card,POS,30128.97,119.26,Completed
TXN00046554,CUST008848,2024-01-01,Bank Transfer,Debit Card,POS,55035.12,199.36,Completed
TXN00046613,CUST002872,2024-01-01,Cash Withdrawal,Bank Transfer,Mobile App,11088.67,128.79,Completed
TXN00046661,CUST004220,2024-01-01,Online Payment,QR Payment,POS,6917.73,64.03,Completed
TXN00048317,CUST008262,2024-01-01,Cash Withdrawal,Credit Card,ATM,17689.78,183.39,Completed
TXN00050248,CUST002733,2024-01-01,Card Purchase,Debit Card,Mobile App,2696.73,0.0,Failed
TXN00054100,CUST002694,2024-01-01,Mobile Top-up,Debit Card,ATM,2039.47,5.2,Completed
TXN00054977,CUST001805,2024-01-01,Bank Transfer,Credit Card,POS,43143.88,197.05,Completed
TXN00055836,CUST010550,2024-01-01,Bank Transfer,Bank Transfer,ATM,129427.25,420.7,Completed
TXN00059422,CUST007405,2024-01-01,Mobile Top-up,Mobile Wallet,ATM,529.56,1.89,Completed
TXN00059616,CUST007331,2024-01-01,Bill Payment,Bank Transfer,POS,44630.02,237.33,Completed
TXN00060010,CUST001096,2024-01-01,Card Purchase,Credit Card,Web,2577.83,23.52,Completed
TXN00060061,CUST000768,2024-01-01,Cash Withdrawal,Debit Card,POS,7232.54,74.55,Completed
TXN00060172,CUST003043,2024-01-01,Card Purchase,Bank Transfer,Mobile App,4451.5,33.81,Completed
TXN00060487,CUST009945,2024-01-01,Online Payment,Bank Transfer,Web,12296.27,114.97,Completed
TXN00060682,CUST002816,2024-01-01,Bank Transfer,QR Payment,POS,40269.93,190.31,Completed
TXN00061723,CUST004144,2024-01-01,Card Purchase,Bank Transfer,POS,13859.71,110.38,Completed
TXN00062243,CUST002816,2024-01-01,Bill Payment,Mobile Wallet,ATM,24752.11,161.0,Completed
TXN00062285,CUST007179,2024-01-01,Cash Withdrawal,Credit Card,Mobile App,12892.76,150.81,Completed
TXN00062327,CUST010692,2024-01-01,Bank Transfer,Debit Card,Mobile App,18747.85,61.68,Completed
TXN00063505,CUST003540,2024-01-01,Mobile Top-up,Bank Transfer,Web,3238.02,7.53,Completed
TXN00064287,CUST007278,2024-01-01,Bill Payment,Bank Transfer,POS,3385.78,17.55,Completed
TXN00064499,CUST004673,2024-01-01,Cash Withdrawal,Debit Card,POS,7014.38,100.46,Completed
TXN00066913,CUST007529,2024-01-01,Card Purchase,Bank Transfer,ATM,5427.77,42.7,Completed
TXN00067415,CUST010293,2024-01-01,Card Purchase,Debit Card,POS,10127.12,97.75,Completed
TXN00069421,CUST009390,2024-01-01,Mobile Top-up,Debit Card,POS,1218.86,3.14,Completed
TXN00069843,CUST009525,2024-01-01,Online Payment,QR Payment,Mobile App,8733.87,79.61,Completed
TXN00070023,CUST001463,2024-01-01,Bill Payment,QR Payment,ATM,11761.16,76.89,Completed
TXN00070064,CUST009498,2024-01-01,Card Purchase,Credit Card,POS,25778.05,252.34,Completed
TXN00070748,CUST006830,2024-01-01,Online Payment,Debit Card,Branch,13462.06,126.44,Completed
TXN00072212,CUST006516,2024-01-01,Card Purchase,Credit Card,POS,18874.1,173.18,Completed
TXN00072322,CUST011670,2024-01-01,Card Purchase,Bank Transfer,POS,5912.05,62.0,Completed
TXN00072648,CUST007847,2024-01-01,Mobile Top-up,Bank Transfer,Web,2014.04,4.92,Completed
TXN00073317,CUST011460,2024-01-01,Bill Payment,Debit Card,Web,10628.32,67.58,Completed
TXN00075409,CUST011803,2024-01-01,Bank Transfer,QR Payment,Mobile App,18530.36,60.24,Completed
TXN00075679,CUST003344,2024-01-01,Mobile Top-up,QR Payment,Mobile App,978.28,2.73,Completed
TXN00075761,CUST004134,2024-01-01,Card Purchase,Debit Card,Mobile App,5721.53,48.22,Completed
TXN00078330,CUST011264,2024-01-01,Online Payment,Bank Transfer,Mobile App,11103.98,105.92,Completed
TXN00080314,CUST011373,2024-01-01,Cash Withdrawal,Bank Transfer,ATM,12208.35,130.58,Completed
TXN00081163,CUST003073,2024-01-01,Cash Withdrawal,Debit Card,Mobile App,24537.96,240.34,Completed
TXN00081651,CUST007764,2024-01-01,Card Purchase,Debit Card,POS,10667.57,98.57,Completed
TXN00081753,CUST009618,2024-01-01,Online Payment,Debit Card,Web,17054.08,180.93,Completed
TXN00082525,CUST000424,2024-01-01,Card Purchase,Mobile Wallet,ATM,3550.69,32.77,Completed
TXN00084195,CUST000334,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,6255.04,54.23,Completed
TXN00084919,CUST008756,2024-01-01,Online Payment,Debit Card,POS,9372.71,107.87,Completed
TXN00085485,CUST000160,2024-01-01,Card Purchase,Debit Card,Mobile App,6287.65,47.33,Completed
TXN00085878,CUST003755,2024-01-01,Card Purchase,Credit Card,Mobile App,6613.73,57.21,Completed
TXN00086173,CUST005528,2024-01-01,Bill Payment,Credit Card,POS,5059.75,26.45,Completed
TXN00086338,CUST008205,2024-01-01,Bank Transfer,Credit Card,Web,17272.43,79.07,Completed
TXN00087883,CUST006938,2024-01-01,Card Purchase,QR Payment,ATM,14562.97,148.83,Completed
TXN00089326,CUST011543,2024-01-01,Bank Transfer,QR Payment,Branch,17814.42,54.26,Completed
TXN00090550,CUST004489,2024-01-01,Card Purchase,Credit Card,Mobile App,1950.52,16.57,Completed
TXN00091157,CUST003362,2024-01-01,Card Purchase,Debit Card,Mobile App,4777.58,47.3,Completed
TXN00091473,CUST009028,2024-01-01,Mobile Top-up,Credit Card,ATM,289.91,0.97,Completed
TXN00091664,CUST004557,2024-01-01,Bank Transfer,Bank Transfer,Web,6863.36,28.43,Completed
TXN00093346,CUST002153,2024-01-01,Bill Payment,Mobile Wallet,POS,13888.89,95.87,Completed
TXN00093756,CUST003991,2024-01-01,Online Payment,QR Payment,Mobile App,11122.54,118.3,Completed
TXN00094918,CUST010832,2024-01-01,Bill Payment,Mobile Wallet,Web,28195.33,170.65,Completed
TXN00095167,CUST005183,2024-01-01,Bank Transfer,Credit Card,Mobile App,59819.99,232.66,Completed
TXN00096462,CUST008953,2024-01-01,Card Purchase,Credit Card,POS,4305.39,40.17,Completed
TXN00096700,CUST010763,2024-01-01,Online Payment,Debit Card,Web,24777.37,296.66,Completed
TXN00097301,CUST004564,2024-01-01,Online Payment,Bank Transfer,POS,10625.28,108.86,Completed
TXN00098732,CUST008109,2024-01-01,Bank Transfer,Mobile Wallet,ATM,41689.53,157.82,Completed
TXN00099327,CUST000151,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,14760.74,123.94,Completed
TXN00099898,CUST009115,2024-01-01,Mobile Top-up,Bank Transfer,ATM,2034.67,0.0,Reversed
TXN00100722,CUST002819,2024-01-01,Bill Payment,Debit Card,Mobile App,3095.89,18.72,Completed
TXN00101069,CUST004134,2024-01-01,Card Purchase,QR Payment,POS,29528.97,244.61,Completed
TXN00102260,CUST001739,2024-01-01,Bank Transfer,Bank Transfer,Mobile App,29705.78,90.86,Completed
TXN00102422,CUST001620,2024-01-01,Card Purchase,Debit Card,POS,8782.22,92.27,Completed
TXN00102782,CUST009363,2024-01-01,Online Payment,Mobile Wallet,Mobile App,4882.57,56.14,Completed
TXN00103482,CUST007039,2024-01-01,Card Purchase,Bank Transfer,POS,8443.54,0.0,Failed
TXN00104454,CUST001861,2024-01-01,Bank Transfer,Mobile Wallet,Mobile App,35491.91,133.84,Completed
TXN00104628,CUST005964,2024-01-01,Bank Transfer,Credit Card,Mobile App,20690.34,95.63,Completed
TXN00104819,CUST002627,2024-01-01,Card Purchase,Credit Card,POS,9411.48,96.05,Completed
TXN00104936,CUST005879,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,10773.47,107.5,Completed
TXN00107310,CUST002412,2024-01-01,Bill Payment,Debit Card,Branch,6835.34,43.25,Completed
TXN00107611,CUST009581,2024-01-01,Card Purchase,Credit Card,Branch,11245.13,81.38,Completed
TXN00107719,CUST006619,2024-01-01,Card Purchase,Debit Card,Mobile App,8407.72,87.12,Completed
TXN00108976,CUST003879,2024-01-01,Mobile Top-up,Credit Card,POS,3067.5,7.19,Completed
TXN00110086,CUST006939,2024-01-01,Bank Transfer,Credit Card,ATM,105875.31,373.7,Completed
TXN00110093,CUST005648,2024-01-01,Mobile Top-up,Credit Card,ATM,1619.41,4.5,Completed
TXN00110582,CUST008606,2024-01-01,Online Payment,Debit Card,Branch,5811.23,64.7,Completed
TXN00113735,CUST008800,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,4602.22,38.85,Completed
TXN00114798,CUST009541,2024-01-01,Bank Transfer,Bank Transfer,Web,9048.76,31.05,Completed
TXN00115763,CUST006311,2024-01-01,Cash Withdrawal,Mobile Wallet,Branch,7221.41,97.68,Completed
TXN00116778,CUST008850,2024-01-01,Card Purchase,Bank Transfer,Mobile App,2059.08,16.02,Completed
TXN00117395,CUST010062,2024-01-01,Bank Transfer,Credit Card,POS,80836.16,328.19,Completed
TXN00117975,CUST006781,2024-01-01,Bank Transfer,Bank Transfer,Mobile App,14989.77,64.62,Completed
TXN00118529,CUST007075,2024-01-01,Card Purchase,Mobile Wallet,Web,3594.82,32.3,Completed
TXN00118537,CUST005285,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,20373.14,162.61,Completed
TXN00119189,CUST010792,2024-01-01,Card Purchase,Debit Card,Mobile App,2686.74,23.45,Completed
TXN00120025,CUST008944,2024-01-01,Bank Transfer,Debit Card,Mobile App,17635.86,82.13,Completed
TXN00122203,CUST004682,2024-01-01,Bill Payment,Credit Card,Mobile App,9980.92,59.83,Completed
TXN00122264,CUST002000,2024-01-01,Card Purchase,Credit Card,Mobile App,1174.63,12.67,Completed
TXN00123695,CUST002987,2024-01-01,Bank Transfer,Mobile Wallet,ATM,35664.05,146.08,Completed
TXN00124629,CUST003915,2024-01-01,Card Purchase,Debit Card,POS,55257.57,585.06,Completed
TXN00125092,CUST005421,2024-01-01,Card Purchase,Bank Transfer,Mobile App,4671.98,43.65,Completed
TXN00126012,CUST010513,2024-01-01,Card Purchase,Debit Card,Branch,9095.06,77.87,Completed
TXN00126098,CUST007559,2024-01-01,Card Purchase,Mobile Wallet,Web,7697.86,76.0,Completed
TXN00127157,CUST008299,2024-01-01,Bank Transfer,Mobile Wallet,POS,33509.67,113.51,Completed
TXN00127781,CUST011592,2024-01-01,Bank Transfer,Debit Card,Mobile App,11265.01,34.39,Completed
TXN00128847,CUST006759,2024-01-01,Card Purchase,Bank Transfer,POS,17178.62,156.6,Completed
TXN00129337,CUST009407,2024-01-01,Bank Transfer,Bank Transfer,Mobile App,34865.82,133.05,Completed
TXN00129518,CUST000734,2024-01-01,Bill Payment,Credit Card,POS,9105.87,51.03,Completed
TXN00130003,CUST006160,2024-01-01,Bank Transfer,Mobile Wallet,POS,46017.22,183.97,Completed
TXN00130563,CUST004695,2024-01-01,Bill Payment,Debit Card,POS,10835.68,71.2,Completed
TXN00130652,CUST001475,2024-01-01,Cash Withdrawal,Mobile Wallet,Mobile App,22370.01,314.15,Completed
TXN00131997,CUST003630,2024-01-01,Bank Transfer,Debit Card,ATM,31042.5,102.26,Completed
TXN00132489,CUST009611,2024-01-01,Mobile Top-up,Bank Transfer,Mobile App,1344.43,4.46,Completed
TXN00132644,CUST007724,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,4019.48,31.79,Completed
TXN00132905,CUST003362,2024-01-01,Card Purchase,Bank Transfer,Web,6233.16,63.63,Completed
TXN00134274,CUST005507,2024-01-01,Card Purchase,Debit Card,Branch,3073.36,22.39,Completed
TXN00134425,CUST010603,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,13574.66,133.24,Completed
TXN00134963,CUST009356,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,5084.02,46.31,Completed
TXN00135004,CUST009530,2024-01-01,Cash Withdrawal,Debit Card,POS,12161.62,122.45,Completed
TXN00135550,CUST002206,2024-01-01,Bill Payment,Debit Card,POS,6047.34,39.99,Completed
TXN00135723,CUST004962,2024-01-01,Card Purchase,QR Payment,POS,7050.23,50.91,Completed
TXN00136222,CUST001303,2024-01-01,Card Purchase,Credit Card,POS,8374.79,60.37,Completed
TXN00136415,CUST011233,2024-01-01,Card Purchase,Credit Card,Mobile App,5571.03,59.45,Completed
TXN00137196,CUST009506,2024-01-01,Bank Transfer,Debit Card,Web,44491.32,170.73,Completed
TXN00137306,CUST008185,2024-01-01,Bank Transfer,Debit Card,Mobile App,58761.76,204.39,Completed
TXN00137829,CUST011710,2024-01-01,Bank Transfer,Debit Card,Web,25056.25,100.98,Completed
TXN00138330,CUST000397,2024-01-01,Card Purchase,Bank Transfer,Mobile App,7828.7,72.82,Completed
TXN00138373,CUST004640,2024-01-01,Bank Transfer,Debit Card,Mobile App,34242.93,112.19,Completed
TXN00138725,CUST003135,2024-01-01,Bank Transfer,Debit Card,Web,12634.36,38.81,Completed
TXN00138884,CUST004090,2024-01-01,Bill Payment,Credit Card,Mobile App,2504.09,0.0,Reversed
TXN00138889,CUST007680,2024-01-01,Card Purchase,Bank Transfer,Web,3906.42,37.13,Completed
TXN00139575,CUST000384,2024-01-01,Card Purchase,Debit Card,POS,23147.55,164.86,Completed
TXN00140283,CUST004915,2024-01-01,Online Payment,Debit Card,Branch,6455.01,56.28,Completed
TXN00140481,CUST009537,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,7489.57,76.95,Completed
TXN00140491,CUST003534,2024-01-01,Mobile Top-up,Credit Card,Mobile App,1877.02,6.36,Completed
TXN00141071,CUST010650,2024-01-01,Card Purchase,QR Payment,Mobile App,13669.59,105.47,Completed
TXN00142375,CUST010777,2024-01-01,Cash Withdrawal,Credit Card,Mobile App,10858.61,134.37,Completed
TXN00143393,CUST002248,2024-01-01,Card Purchase,Bank Transfer,POS,3309.12,28.65,Completed
TXN00143603,CUST005812,2024-01-01,Bill Payment,Debit Card,ATM,13004.82,90.46,Completed
TXN00144204,CUST007405,2024-01-01,Card Purchase,Credit Card,Mobile App,6193.07,47.43,Completed
TXN00144477,CUST009023,2024-01-01,Card Purchase,Bank Transfer,POS,9405.18,76.27,Completed
TXN00144949,CUST006947,2024-01-01,Bill Payment,Debit Card,Web,8980.54,45.94,Completed
TXN00146281,CUST001284,2024-01-01,Card Purchase,Debit Card,Branch,26182.04,215.16,Completed
TXN00146457,CUST008650,2024-01-01,Online Payment,Debit Card,ATM,4523.62,36.2,Completed
TXN00146861,CUST006287,2024-01-01,Card Purchase,Mobile Wallet,Mobile App,5088.79,0.0,Reversed
TXN00147442,CUST005488,2024-01-01,Bank Transfer,Bank Transfer,Mobile App,20875.09,68.68,Completed
TXN00147463,CUST000386,2024-01-01,Bill Payment,Mobile Wallet,POS,4014.37,27.34,Completed
TXN00147904,CUST010729,2024-01-01,Bill Payment,Debit Card,Mobile App,4893.26,35.12,Completed
TXN00148685,CUST000175,2024-01-01,Card Purchase,Bank Transfer,Web,7456.51,70.71,Completed
TXN00149026,CUST005298,2024-01-01,Card Purchase,Mobile Wallet,ATM,3972.97,34.5,Completed
TXN00000380,CUST007531,2024-01-02,Cash Withdrawal,Debit Card,POS,7800.02,101.95,Completed
TXN00002085,CUST001161,2024-01-02,Online Payment,Debit Card,POS,16375.94,161.58,Completed
TXN00002285,CUST011861,2024-01-02,Online Payment,Credit Card,Branch,5969.9,45.06,Completed
TXN00003820,CUST011432,2024-01-02,Card Purchase,QR Payment,Web,4134.94,29.23,Completed
TXN00005825,CUST007476,2024-01-02,Card Purchase,Bank Transfer,Branch,22131.04,184.9,Completed
TXN00007212,CUST003598,2024-01-02,Mobile Top-up,Bank Transfer,ATM,940.22,2.83,Completed
TXN00009795,CUST003181,2024-01-02,Bank Transfer,Mobile Wallet,Mobile App,22761.67,88.34,Completed
TXN00009958,CUST007335,2024-01-02,Mobile Top-up,Debit Card,Mobile App,1057.62,2.52,Completed
TXN00010387,CUST004081,2024-01-02,Online Payment,Mobile Wallet,Mobile App,20298.37,167.41,Completed
TXN00010416,CUST010307,2024-01-02,Mobile Top-up,Debit Card,POS,2370.07,8.33,Completed
TXN00010826,CUST007501,2024-01-02,Bank Transfer,Debit Card,ATM,71167.96,215.69,Completed
TXN00011696,CUST005878,2024-01-02,Bill Payment,Bank Transfer,ATM,3895.52,27.85,Completed
TXN00011756,CUST003928,2024-01-02,Mobile Top-up,Debit Card,POS,993.43,3.11,Completed
TXN00012151,CUST008957,2024-01-02,Card Purchase,Debit Card,Web,7113.03,53.23,Completed
TXN00014994,CUST010308,2024-01-02,Online Payment,Debit Card,Mobile App,16455.28,190.01,Completed
TXN00015218,CUST001084,2024-01-02,Card Purchase,Credit Card,Branch,5438.29,42.55,Completed
TXN00016032,CUST005853,2024-01-02,Bill Payment,Debit Card,Mobile App,24362.94,135.73,Completed
TXN00016418,CUST003536,2024-01-02,Card Purchase,Bank Transfer,Web,6613.31,49.73,Completed
TXN00019250,CUST005053,2024-01-02,Cash Withdrawal,Debit Card,Mobile App,12104.11,121.07,Completed
TXN00019341,CUST010939,2024-01-02,Cash Withdrawal,Bank Transfer,Mobile App,35745.67,347.72,Completed
TXN00019802,CUST004970,2024-01-02,Bank Transfer,Debit Card,Mobile App,20795.55,71.29,Completed
TXN00020182,CUST007863,2024-01-02,Mobile Top-up,Debit Card,Web,6212.58,16.67,Completed
TXN00020566,CUST007619,2024-01-02,Mobile Top-up,Debit Card,POS,6194.47,17.87,Completed
TXN00021226,CUST011732,2024-01-02,Bill Payment,Bank Transfer,Mobile App,14218.08,65.32,Completed
TXN00021853,CUST009745,2024-01-02,Card Purchase,Debit Card,ATM,3511.99,30.35,Completed
TXN00023453,CUST008970,2024-01-02,Cash Withdrawal,Mobile Wallet,ATM,15106.57,182.75,Completed
TXN00023971,CUST000701,2024-01-02,Card Purchase,QR Payment,POS,5055.26,43.1,Completed
TXN00026213,CUST007828,2024-01-02,Bank Transfer,Bank Transfer,Mobile App,30140.79,97.54,Completed
TXN00026541,CUST001136,2024-01-02,Bank Transfer,Bank Transfer,POS,5807.0,27.21,Completed
TXN00027185,CUST003847,2024-01-02,Bank Transfer,Credit Card,POS,48238.95,216.47,Completed
TXN00027801,CUST009921,2024-01-02,Online Payment,Debit Card,ATM,7397.62,68.08,Completed
TXN00027823,CUST005842,2024-01-02,Bank Transfer,Debit Card,Mobile App,23357.0,75.19,Completed
TXN00028098,CUST003747,2024-01-02,Card Purchase,Debit Card,Branch,4797.2,45.68,Completed
TXN00028303,CUST004695,2024-01-02,Card Purchase,Debit Card,POS,2757.6,28.03,Completed
TXN00028335,CUST003119,2024-01-02,Bank Transfer,Debit Card,POS,12761.9,54.48,Completed
TXN00028900,CUST004489,2024-01-02,Card Purchase,Credit Card,Mobile App,6227.63,59.0,Completed
TXN00030649,CUST002376,2024-01-02,Bank Transfer,Debit Card,Mobile App,23209.39,85.84,Completed
TXN00031410,CUST004705,2024-01-02,Bank Transfer,Debit Card,Mobile App,15748.29,53.94,Completed
TXN00032295,CUST008572,2024-01-02,Card Purchase,Bank Transfer,Mobile App,11111.63,81.05,Completed
TXN00032860,CUST000240,2024-01-02,Bank Transfer,Bank Transfer,Mobile App,32496.09,142.35,Completed
TXN00032872,CUST009933,2024-01-02,Card Purchase,QR Payment,Mobile App,13145.43,101.82,Completed
TXN00034191,CUST004607,2024-01-02,Bank Transfer,Debit Card,POS,31320.11,124.54,Completed
TXN00034602,CUST001499,2024-01-02,Card Purchase,Debit Card,Mobile App,4502.46,32.85,Completed
TXN00036698,CUST008592,2024-01-02,Bank Transfer,Debit Card,Mobile App,43077.28,140.31,Completed
TXN00039245,CUST010230,2024-01-02,Bank Transfer,Credit Card,POS,23974.26,109.25,Completed
TXN00041888,CUST011061,2024-01-02,Mobile Top-up,Bank Transfer,POS,1168.65,3.96,Completed
TXN00042018,CUST001744,2024-01-02,Card Purchase,Credit Card,POS,4224.44,43.82,Completed
TXN00042192,CUST007114,2024-01-02,Bank Transfer,Debit Card,POS,32165.06,111.74,Completed
TXN00042217,CUST006099,2024-01-02,Bank Transfer,Debit Card,Mobile App,22116.94,87.57,Completed
TXN00042652,CUST000752,2024-01-02,Bank Transfer,Mobile Wallet,POS,30327.33,0.0,Failed
TXN00042763,CUST010937,2024-01-02,Online Payment,Debit Card,POS,15447.96,0.0,Reversed
TXN00043781,CUST003496,2024-01-02,Mobile Top-up,Bank Transfer,POS,1928.64,5.74,Completed
TXN00045239,CUST000435,2024-01-02,Bank Transfer,Bank Transfer,POS,68197.41,319.25,Completed
TXN00049001,CUST006498,2024-01-02,Card Purchase,Bank Transfer,Web,5325.37,40.76,Completed
